Country,Region,City,NIL,CODICE,PREVALENTE,DISCIPLINA,DENOMINAZI,INDIRIZZO,CATEGORIA,TIPOLOGIA,SEDIME
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,496,Servizio sussidiario,Disciplinato PdS,CDI Centro Diurno Integrato Giolli,VIA RAFFAELLO GIOLLI 29,Servizi Sociali,Diurnato,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,497,Servizio unico,Disciplinato PdS,Verga Giovanni,VIA ASTURIE 1,Istruzione,Scuole del primo ciclo di istruzione,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,498,Servizio unico,Disciplinato PdS,Piscina Suzzani,VIA GOFFREDO DA BUSSERO 7,Sport,Centri sportivi,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,500,Servizio principale,Servizio privato,Gesu' Divin Lavoratore,PIAZZA SAN GIUSEPPE 2,Sport,Strutture sportive oratoriali,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,500,Servizio sussidiario,Servizio privato,Teatro di Piazza San Giuseppe,PIAZZA SAN GIUSEPPE 2,Cultura,Teatri e Auditorium,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,501,Servizio unico,Disciplinato PdS,Universita' Cattolica del Sacro Cuore - Centro,VIALE SUZZANI GIOVANNI 279,UniversitÃ  e ricerca,UniversitÃ ,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,503,Servizio sussidiario,Servizio privato,Comunale N.41,VIALE SUZZANI GIOVANNI 239,Salute,Studi e attivitÃ  professionali,Puntuale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,504,Servizio principale,Disciplinato PdS,Pensionato,VIALE TESTI FULVIO 285,Servizi Sociali,ResidenzialitÃ ,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,506,Servizio unico,Disciplinato PdS,Mm - Servizio Idrico Integrato,VIALE TESTI FULVIO 325,Infrastrutture tecnologiche e,"Distribuzione acqua potabile, gas metano,",Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,507,Servizio unico,Servizio privato,Ebs European Business School,VIALE TESTI FULVIO 223,UniversitÃ  e ricerca,UniversitÃ ,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,509,Servizio unico,Servizio privato,Gesu' Divin Lavoratore,VIA AREZZO 2,Sport,Strutture sportive oratoriali,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,516,Servizio unico,Servizio privato,Polizia di Stato - Caserma,VIA CESARI ANTONIO 20,Sicurezza e Protezione,Polizia di Stato,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,547,Servizio unico,Disciplinato PdS,CSRC Polo Santa Monica,VIA SANTA MONICA 4,Servizi Sociali,Diurnato,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,1228,Servizio unico,Disciplinato PdS,Appartamento,VIA PONALE 66,Servizi Sociali,ResidenzialitÃ ,Puntuale
